user_id,recommendations
55,9199 11358 9234 6488 5486 11401 1180 1523 2912 2169
56,12213 12546 10829 10042 10135 13226 4807 6773 13265 5357
57,5066 5041 5972 5552 1439 3225 7932 504 5549 5270
58,7474 11875 1117 6484 4068 7643 907 576 1707 10165
59,3705 1803 2773 1450 8654 3189 4262 5011 4227 11568
60,4 5972 1439 5270 11383 7697 758 4762 5549 168
61,1673 13589 9770 3849 640 13109 1944 10724 5651 9058
62,12650 5428 1764 11505 9107 7212 4697 7532 2799 13023
63,5437 1417 2588 10631 9983 5782 3569 8280 14064 13998
64,4889 13632 8789 1838 1946 12846 1266 5486 5864 3522
65,3751 8470 3529 1081 875 1237 11290 5046 2063 5503
66,3972 13383 7968 3154 9182 11391 3503 12203 9461 14412
67,4703 15269 8690 9913 1104 3460 3456 82 10480 10017
68,4973 213 574 9508 13582 13130 13402 861 1661 13571
69,3263 2828 3813 14845 2829 12879 13839 6492 11981 5180
70,13450 3085 10072 13983 4037 8645 4612 1318 11851 3081
71,8526 8904 14324 13329 13348 6729 1532 11112 12501 14662
72,1535 1530 11524 1531 6730 8731 14327 10260 11394 13671
73,117 1624 9913 3213 1619 1621 10893 235 234 1617
74,14505 11729 4670 10162 4068 14531 1222 4169 4562 7349
75,1279 4879 3593 7005 11168 1281 14470 8652 3751 8317
76,12134 12574 5789 9460 14378 9127 11397 11744 4733 4735
77,9052 14089 8052 10967 3909 740 1495 2031 14702 7525
78,2376 8476 11349 9236 2378 1357 12548 2377 2370 4398
79,8624 14726 970 8629 8628 3719 13211 3802 10005 6311
80,3234 1371 4899 7561 4882 7329 7560 10967 3236 4891
81,12207 2587 2847 1840 7349 3428 760 6494 3747 3916
82,1439 5270 5549 5972 11383 5066 2798 3014 7697 6577
83,7749 4385 10135 5217 1371 4921 4345 4562 14933 2339
84,15105 6814 15159 4966 10650 4151 8988 7497 2111 13417
85,13013 1038 1103 1490 1493 7417 1489 1492 1077 3527
86,8579 4385 11658 4921 14933 4345 630 5217 11459 13620
87,13130 1301 917 7016 11186 5934 6347 13062 13737 14765
88,5771 2299 6341 10275 8755 1377 1123 173 3307 7568
89,11659 5972 764 5549 624 7718 656 686 9249 523
90,2108 10025 1855 6504 6775 6494 1111 6779 10106 6109
91,1535 11524 13671 4330 1166 14712 3464 13188 2814 13574
92,4587 3445 4087 7655 4590 977 9880 9769 12760 12762
93,7375 11089 4944 6048 11204 115 2715 12232 13517 6369
94,8716 7004 5927 9264 2151 3919 2152 3616 848 4867
95,13616 7881 14167 12519 12528 12527 13617 13898 12864 12858
96,10286 6598 14735 15116 15137 15143 15136 14753 15138 15117
97,9273 7420 4268 9249 168 4824 5549 9314 11383 9309
98,488 744 5549 1404 5270 1439 168 242 171 7411
99,2734 6726 2733 14303 5375 2720 4779 3539 6505 11397
100,14986 3064 15246 1736 14714 11695 8735 5929 1044 8609
101,8132 230 9190 15059 15119 8023 3859 9716 10867 9189
102,10605 8213 8214 10980 13814 7444 8215 2668 14600 8216
103,4271 871 7720 843 866 869 821 5549 4592 2764
104,5383 11574 8335 12909 4186 8298 6485 3976 12025 907
105,9672 4772 12706 9674 7493 2333 15109 7775 9679 4294
106,3878 12576 1522 2438 6781 5383 7934 8881 6162 907
107,7705 2657 7707 10329 4013 11527 11235 13637 6803 7706
108,9355 11030 12753 4854 5476 2563 1944 10773 12285 10776
109,793 1054 6411 2071 13435 2307 5424 4080 7341 846
110,4726 9913 7525 2046 7798 2738 7373 9775 3409 8996
111,12378 4398 7065 1723 1775 8539 2870 2893 11119 9754
112,10472 4818 14396 8658 3570 14709 11366 14928 2344 10605
113,43 8796 3293 1081 6726 2072 4979 6433 1014 3539
114,15038 5228 12842 5229 2948 7333 13077 8378 4356 11283
115,8604 14112 13766 13694 14115 5735 8551 7343 6493 8398
116,1052 3752 1014 3453 226 5505 1019 1051 3291 1737
117,8024 7378 2108 7047 13206 10779 8923 7946 661 3970
118,7215 12376 1705 5686 12378 1775 1143 11056 1146 7094
119,859 8184 5721 5722 2577 11603 9712 6062 2992 3999
120,9229 7886 12931 9395 9232 9233 1030 6945 13255 2849
121,5041 4592 2586 6863 5552 821 4271 4761 1993 4757
122,2645 12623 12552 14434 4630 12879 3953 7401 7618 709
123,4414 3843 8020 4682 10815 1723 12656 8822 4331 9749
124,2798 12246 5270 5549 5066 7720 2763 3195 168 5049
125,12566 9805 6623 6494 3878 2108 7936 2587 6188 7525
126,12756 5673 11120 14209 14458 14596 15195 14459 9666 4061
127,7911 6672 7658 4279 6625 644 922 12391 3610 8364
128,2834 2835 11084 9698 14129 7266 8411 14982 10763 5241
129,7707 7705 2657 1668 10329 11527 11517 4013 11235 6631
130,12097 9607 10782 1752 8426 1880 7852 6489 12011 2111
131,13432 8323 1885 13433 14809 13532 5572 11362 13246 3482
132,5670 6823 1828 2879 7055 5863 4331 7064 6741 12641
133,5486 1896 12373 8515 1895 1979 6097 5237 10757 7455
134,4271 1389 879 869 866 5972 8403 4 12084 867
135,6787 12294 8595 9931 6859 4540 8340 7294 4727 2582
136,9665 13111 9662 6552 1357 10843 4134 1354 7065 8476
137,10458 2270 2958 2547 9913 5322 10291 5753 13413 3149
138,5486 9655 2108 8059 1848 1893 4068 7567 7349 13832
139,2724 1946 2861 8126 14625 6950 9805 12566 7878 6060
140,5486 12373 3541 1896 14414 1893 6613 4882 1979 6097
141,11205 14809 5572 1885 13432 13532 14256 15089 13433 13246
142,1439 11383 9249 5549 7696 168 8762 4 6018 1423
143,9165 13596 14945 13630 5934 4669 6825 7410 13314 11999
144,7688 2682 12455 9421 9145 3757 14211 6623 4669 8116
145,4085 11576 11695 3503 11391 1452 6375 4592 1646 821
146,2459 2458 2456 2460 737 14637 7933 414 6094 2092
147,8476 6360 2377 6109 2376 9236 12548 10025 13792 11349
148,5546 6213 13435 13268 9169 7680 846 13487 14897 7341
149,5633 2590 3538 2695 11290 8594 4875 8592 2751 11362
150,9699 1750 14064 5781 5661 10631 1698 5782 7658 4130
151,1666 4045 6112 8680 6623 6686 5522 888 13130 6684
152,5742 3109 874 2064 9478 3751 3340 4050 3734 4229
153,7021 3293 4976 9478 1687 1280 8796 43 1737 1081
154,3053 3057 3056 15061 15062 3054 3051 8369 3059 15001
155,10832 13915 664 954 11261 290 4442 7082 12316 7859
156,11904 3992 7400 11934 12191 10571 13161 9186 4787 7621
157,15070 7244 15187 8637 14652 12399 14694 6113 1387 8324
158,9913 7525 10380 10382 8591 10383 287 10673 8996 851
159,7506 10024 13604 8457 4576 7766 11411 4801 5922 3828
160,4518 8001 10583 8005 5704 12705 659 12406 12251 13921
161,9913 10673 9923 1751 7525 10380 8591 11485 10382 3409
162,6788 147 8314 3169 9429 9251 13608 5110 7551 3784
163,249 1746 3580 4981 10331 1734 3984 8028 3514 7214
164,1763 6591 2269 2180 12482 4942 1688 8931 2707 13719
165,12164 5147 466 12429 870 2703 6303 7716 3514 624
166,13993 14561 15096 14895 14500 14449 1133 14927 13112 14495
167,12278 959 5464 394 10863 15242 14313 981 3448 8664
168,6658 14541 6657 7526 2180 2286 6087 14201 14575 14443
169,1687 3616 1080 3927 1054 875 3914 3912 6433 3751
170,4592 10168 171 5972 5549 14261 1447 5066 2764 463
171,5794 37 2182 3195 1405 2763 8643 4232 9875 10557
172,9580 8192 6929 3382 9457 1276 8995 7198 8280 3569
173,14030 8281 10265 4810 8299 12252 11762 2229 14570 4811
174,1439 2324 6375 5972 515 5270 3368 1447 4016 488
175,13792 8476 2377 9666 6360 1357 9663 2376 15195 11349
176,5383 8335 11574 1454 1655 2439 5381 6775 1889 9743
177,11791 8148 6129 15242 4174 981 5231 10130 8321 7983
178,11874 2691 3352 5458 1112 9365 8574 14190 4563 14184
179,213 11416 4305 1196 11103 9846 5294 6437 1300 13823
180,12879 13542 11590 13839 5241 3655 709 8842 10108 7255
181,12760 4589 9879 12761 4582 9880 12944 2196 11651 966
182,3246 10529 2953 6765 9868 4111 3578 7675 8778 6387
183,10735 10591 5166 1036 1035 278 3749 8135 14646 5167
184,2001 737 7933 4178 2159 9529 4179 10170 8317 3225
185,14850 9913 8050 14254 11320 1841 5311 8793 114 112
186,5836 6905 3867 13379 4923 9356 4921 5217 11680 4385
187,9913 1751 7525 1104 851 10673 3409 10380 9923 10014
188,859 1782 8184 5721 2589 5722 1100 1638 3212 3188
189,1619 235 234 1624 1617 1618 1620 1622 1751 28
190,4761 1796 5270 5549 5791 5066 168 9249 6577 1439
191,1181 5995 67 11188 14350 4053 1645 14351 8891 6105
192,14965 1182 10814 10862 14492 11326 4145 6609 6977 11127
193,7468 2606 3280 13379 10209 4923 3868 5836 7955 14914
194,5452 2067 7341 14897 13487 846 13435 7340 8533 8418
195,4059 2613 2666 8632 15167 10980 14600 8624 11207 7444
196,2870 12378 7065 4398 14440 6704 8539 14736 10992 12348
197,13501 3616 11799 1110 11450 6494 13204 7525 4513 14181
198,6561 1286 2447 12077 8406 8616 11045 12999 11002 1666
199,4798 7349 8172 12880 14999 5036 5348 10362 14181 5205
200,6726 3746 1737 43 8796 12623 3539 2809 9081 877
201,5452 2290 13435 7860 14897 846 13487 7341 4080 4079
202,14600 8216 15167 8213 10980 8393 7444 8624 3010 1999
203,3848 9277 987 314 6835 13525 14395 14058 14357 8509
204,6726 1280 1737 43 8796 3303 1112 2720 2072 1081
205,1940 1857 4068 12453 4170 12566 6886 4562 6494 9805
206,1602 2071 1054 1280 5424 6433 2695 1081 2297 1750
207,12425 2744 2814 7396 14335 10410 1166 14712 4516 13189
208,6816 737 1764 489 2459 11505 2458 2460 2001 2799
209,5549 168 1439 503 4271 9309 5270 4824 9249 871
210,11171 13817 14711 12003 4923 3752 14773 7279 4874 5633
211,376 3233 3894 3775 3893 10049 13216 4837 529 4174
212,3464 14712 11524 4330 1531 7396 12742 404 403 1525
213,10762 3748 1086 1280 7137 1081 2695 4975 4144 3293
214,14845 3263 3813 11981 1311 4586 9589 8664 12029 5180
215,1748 12575 11306 13103 5946 5424 6982 5677 5676 12680
216,3747 2859 613 12566 7349 5244 12162 2587 6503 4455
217,4599 3845 7554 13060 9645 2875 9628 14751 14458 4063
218,1624 1619 1621 235 234 1617 1618 1620 10893 3213
219,7426 2870 10818 7065 12378 1721 2874 8539 4599 8476
220,1893 8605 12373 5486 1848 5255 6951 6141 13577 11074
221,6849 213 1300 10048 4787 1196 9508 412 577 574
222,6192 3250 11960 241 4734 4735 4733 5972 7310 752
223,13416 12155 2279 5584 628 12305 4500 9712 5275 10772
224,12172 1293 4751 12904 6412 7237 7685 6712 10346 13614
225,10657 2962 5818 5748 9913 7164 611 6893 96 12487
226,10025 6109 11691 1776 1723 12566 6168 11119 8112 8020
227,10233 7462 13168 94 9443 13847 541 10225 8306 10289
228,9651 9561 12538 2809 1737 43 8796 9546 6726 5766
229,5145 2989 7415 7416 30 6433 6987 1280 12761 1014
230,9067 3358 2720 3303 1848 2343 4276 5486 7455 1893
231,6431 4604 13984 7080 7066 7065 9195 1321 1013 2372
232,15016 12558 9880 1540 11651 4583 14368 961 10223 938
233,4264 9318 1418 1567 3310 1439 5538 6038 7697 4757
234,80 95 8050 5311 8793 112 7159 15064 9055 7115
235,3121 12778 4711 13186 14016 3257 3128 14938 9463 327
236,1439 2700 757 821 4592 1447 2312 4271 5117 1993
237,71 5421 4863 1752 1751 9913 2271 2472 1384 2569
238,14150 15010 12511 10332 11749 4514 437 11753 11548 13734
239,6311 9553 57 3802 9817 9552 10791 15157 14649 1216
240,2083 15061 15062 2084 15001 2085 8369 8370 12711 8050
241,8734 14714 8609 1736 15246 15129 8735 5929 5513 8737
242,861 8840 12546 13571 10836 10829 574 5000 1297 14999
243,6704 7221 1013 6703 14440 7065 4398 7784 11057 2998
244,13709 6498 6499 6097 13470 6477 5864 13644 12758 3996
245,14100 14979 14166 2203 7146 1367 8196 8488 7347 12329
246,4132 8983 4688 7091 12209 11799 10461 7065 10992 1320
247,4271 871 8403 866 12084 869 868 1047 10473 2764
248,12209 10461 8477 2870 2618 8020 10992 1320 10508 7065
249,12462 4972 4777 4050 8552 7341 5742 1079 5452 2290
250,6513 6479 2587 11964 1110 1679 10272 6226 10269 3998
251,12101 1293 9516 7024 4067 615 3023 4119 12778 8669
252,9913 7525 8890 4370 10673 2271 851 10380 6762 3173
253,894 1439 5066 1452 5270 4592 6577 5972 821 5552
254,5270 488 5549 5066 1439 5972 11383 744 4271 6577
255,4833 4325 7192 8751 8841 8554 3382 3353 5821 4921
256,259 4568 989 705 4569 10232 2072 5738 213 12941
257,15031 11467 3245 13522 11230 8599 12150 3246 7391 3147
258,11383 862 6209 6296 495 3222 9249 504 5549 7697
259,3813 3263 2828 14845 2829 11981 8913 4585 4586 9589
260,3268 8611 3025 14563 14536 7226 14068 14944 14961 13350
261,9931 3271 3273 3272 3252 495 6296 10673 11485 10380
262,5217 4874 5633 6726 4385 7315 43 8796 7759 3571
263,9867 5908 5402 10781 5401 773 14497 1682 14819 9589
264,286 5123 5629 14019 434 7916 15235 7669 788 638
265,15242 6129 12188 13335 526 15036 11270 9892 8147 5232
266,851 3790 5791 8348 11936 9913 5792 11938 27 6468
267,7725 4902 561 11676 2220 4199 8292 6102 7056 7894
268,5863 1828 9540 4331 6733 2879 1720 6734 12914 2878
269,8597 12165 10358 13523 3910 12232 268 1494 7675 1546
270,6541 907 13704 13207 7574 6240 6485 3090 6187 1227
271,1119 1379 284 8025 5248 8021 5249 1380 1120 1124
272,3685 14254 8969 4576 4067 2166 3138 8669 13729 12879
273,5598 11581 14253 9173 6706 982 7100 10096 7099 6257
274,2027 1447 1439 5972 2306 821 4271 4592 5270 4824
275,11580 9892 14444 13335 9766 4755 7781 238 11947 14659
276,13967 13979 3036 13942 8674 7445 12673 12142 13397 12291
277,226 1014 4077 1051 6433 5502 8580 4976 5505 7525
278,14712 1166 11052 13342 1534 12742 4330 1525 1535 13731
279,7923 3468 177 3728 12773 349 10618 9317 3723 11175
280,14240 5759 14361 11124 11125 8871 6197 14733 6138 12103
281,489 4817 3110 2428 8716 4818 10209 5927 9264 7004
282,4230 9565 8447 1447 5971 3681 4188 5080 4824 2994
283,8646 3018 14059 640 5612 13879 13589 11667 13892 15266
284,9409 9410 3415 11805 4398 4387 12609 5672 9407 12920
285,431 8974 661 11330 13359 12039 9961 5375 11769 1025
286,13776 7721 7722 9449 10969 11773 11246 4371 9451 4528
287,10024 4639 2334 6874 11411 13373 2167 4801 622 14303
288,50 7370 2596 9154 1302 2518 10019 6917 10292 8680
289,6303 489 3219 5147 12164 2428 2790 4817 3110 4911
290,43 8796 2072 6726 1280 4146 1081 2360 2590 5100
291,259 4305 4568 7247 213 1633 13484 716 7552 443
292,10980 7444 3573 3571 14600 1998 12187 8393 7756 2668
293,4246 12043 1202 4180 6408 1192 7504 7382 5972 1639
294,8385 2953 12029 2015 8386 8700 9364 2447 10036 9372
295,6788 3031 306 8637 2716 14767 12775 2700 10865 988
296,12597 8440 3646 3102 6392 13778 12408 12088 5283 13779
297,155 10372 153 10370 10371 156 13373 152 9913 10373
298,10736 10238 3624 7195 2338 196 7646 7194 3909 9648
299,4339 12803 5601 4469 14511 11732 11849 14567 11733 577
300,13567 9368 13602 14634 14564 11044 7195 12481 14487 15172
301,12410 7491 6769 10154 9825 4153 8819 11708 5540 10398
302,2891 1007 7066 6362 10750 9537 3845 13984 2873 10843
303,6623 6188 2438 11055 3878 13378 612 287 6494 12566
304,5549 7629 4604 168 9565 12354 4925 10025 10368 2755
305,582 9162 11383 862 1587 7697 1567 1439 4264 5541
306,7339 10259 5628 7916 12978 944 8636 8669 6790 1514
307,5 160 13904 6003 6128 2597 8896 5634 157 15109
308,6467 12773 7315 11477 9913 9317 2738 6726 11175 7525
309,1280 1081 3293 4052 7776 3748 2360 3543 2695 4979
310,6614 9999 9506 7705 14028 11014 6803 7707 1668 10329
311,3376 2072 12267 9985 10555 3751 2695 8796 43 1737
312,3324 8635 664 976 7984 1870 4954 4909 10093 2040
313,12091 9015 10863 6789 12401 12841 10917 7824 14077 14075
314,11936 3406 8348 851 11938 6468 27 11937 11939 9311
315,3016 735 7560 9989 6632 15122 15123 8520 5270 504
316,9116 14727 2434 10146 8229 10145 13769 8228 2433 13768
317,939 6922 9552 9425 11142 9553 4014 12584 6311 8421
318,6437 4281 5613 4279 1575 6696 4173 10264 14280 208
319,2828 2829 14845 11981 1311 9589 4586 6998 13551 1336
320,4345 3571 2339 10135 7759 5836 4562 4385 9356 5217
321,10556 4416 9080 11532 4060 12255 3845 12257 2873 2876
322,11740 5470 13095 13109 5702 13110 2917 6224 9400 7973
323,5791 5792 4335 5412 4284 202 4411 2415 6074 9019
324,12566 9716 1269 10867 9805 4170 9190 6494 7936 1680
325,13379 6905 5836 9243 4923 2605 2471 7315 14905 2475
326,6494 6623 12566 9805 11055 1852 14181 6188 2108 7525
327,5056 9038 9041 4549 14610 4548 2115 9904 13420 14513
328,3269 6296 495 5982 3602 4360 2077 1348 2859 683
329,3616 5151 1550 5150 5972 5960 1239 1389 7341 4016
330,11271 12606 1752 3835 1405 7932 7829 12031 7631 9833
331,5519 14203 5520 6608 14478 5373 13424 13420 6606 14523
332,12879 7255 4630 7254 709 7618 6492 7537 5180 11756
333,9913 3176 3177 7525 3409 851 10673 8811 9923 5567
334,8289 2099 5951 7189 8571 10485 8486 242 30 1574
335,9199 13697 1170 11289 5898 10782 614 8183 914 7946
336,5422 3987 4228 5419 15187 9085 13697 11289 9883 6233
337,9181 2994 4243 12190 12327 13058 10711 8456 11215 14356
338,14275 10943 3435 12654 2858 7788 9892 2859 4534 12402
339,13460 1380 10408 11661 12566 7171 12938 1893 7165 2847
340,6834 9002 4327 2066 11159 3382 3386 2340 6929 9457
341,13644 6393 14280 10928 10583 15086 1619 1621 235 234
342,9067 3804 2028 14150 4903 437 12511 4514 11548 10531
343,10974 14452 11360 257 14858 5378 6094 8299 6504 8282
344,10072 13380 8645 4036 10073 1317 13426 11420 14745 10075
345,1014 3453 226 6331 6327 5790 4976 5424 6987 1041
346,12462 4972 4777 8552 9478 1280 7021 2073 3340 1081
347,13760 3408 5975 15033 13393 13394 11439 11225 1141 12796
348,174 6587 5504 2799 489 7138 3830 1247 5499 5356
349,4058 2663 15167 8624 13361 8628 8629 3010 14600 11715
350,9080 11532 11987 11434 3079 12257 11777 1158 13662 5876
351,9805 4781 2627 11055 12566 6623 6189 6494 7349 9682
352,14897 13487 13435 7860 4271 871 5452 7341 8418 8533
353,584 10583 271 6175 6800 9165 4540 3137 4727 14497
354,10094 15050 8186 7452 12467 4587 9880 5066 5027 327
355,14378 9127 11397 11744 4735 4733 4734 6661 14519 1345
356,6694 5549 5383 11574 1680 4281 5270 2287 3292 10347
357,8476 2376 13792 2370 6360 9236 11349 2377 12349 2378
358,13646 8120 14902 8131 10981 5994 15105 13949 13541 5992
359,5943 5679 2110 6460 2645 12983 4169 3925 12941 14223
360,12566 6623 1680 6494 12623 9805 13832 10025 2287 3878
361,1212 793 835 2307 6411 4246 6088 5972 3225 5270
362,5972 1439 5270 5549 5066 6375 11383 4271 4592 4824
363,3659 11142 575 709 3814 10109 14056 3182 11984 710
364,2415 2919 202 11792 14716 5613 10048 10859 7623 312
365,2009 3486 9422 715 11873 5495 7794 11103 1713 9984
366,3386 3344 4327 3382 6678 9033 5168 1276 9463 6929
367,13189 13188 14374 12426 9788 4330 13344 1531 9785 7396
368,1828 5863 9891 6134 1825 8822 9540 1158 2372 3415
369,10001 8003 7610 13131 9831 10003 6393 5947 7682 7436
370,9213 2731 231 5352 11632 4455 14008 5244 12893 7770
371,6140 13822 6138 7759 1296 4385 294 3288 3872 5832
372,171 758 7783 165 6997 323 2927 581 10277 6494
373,546 15229 504 241 5552 2190 4757 580 5066 795
374,5998 8631 7224 6716 3395 12114 13613 12566 287 612
375,7936 4068 7349 4633 1707 11055 6494 14667 4670 1061
376,12499 13303 10195 12441 5930 6496 12879 7212 2866 10052
377,3458 5148 4898 10974 4019 11460 14585 9992 5217 11980
378,1584 1567 2024 11383 1959 2586 7696 3958 13716 6209
379,2930 14094 2929 9655 8680 10809 213 7343 2266 1747
380,13253 12611 14006 6525 7889 13690 9557 2984 9128 9126
381,11564 11326 1450 7606 7605 10205 1993 9963 10345 6605
382,6109 6110 10025 1776 8539 7065 12378 13984 8151 9754
383,9191 6804 10998 5846 10630 5845 10997 9854 1826 11923
384,8408 13385 7202 8985 13836 10668 7732 13210 9613 12698
385,9522 6929 11058 15067 9055 14979 2156 14029 8050 9913
386,664 4442 12251 9166 312 12406 10670 7620 7858 995
387,9705 11907 14426 4587 14654 12944 13121 9700 12467 10839
388,13901 8713 7549 6755 4048 12904 8258 10731 6712 6412
389,759 2708 14422 253 11929 4754 6481 7338 8669 283
390,613 12566 2847 5197 5244 7349 3522 6623 4605 7803
391,1447 1439 6028 4757 4592 5270 821 5552 2024 504
392,3046 7396 4330 12425 2744 10410 1535 1166 14712 2815
393,6917 4540 8340 4727 2582 5151 15272 6303 11050 13771
394,9659 7259 14006 2984 5909 4371 13691 9128 9557 9126
395,8664 394 11289 4670 13903 13697 14313 6723 933 8343
396,3900 3898 6603 9979 11330 14610 486 11397 9038 8132
397,7146 456 10912 9443 10289 13553 7462 2247 13847 3031
398,10151 6586 13204 4170 12623 11566 8270 10162 6886 6629
399,977 12559 13801 2196 14355 9880 13800 12944 7757 13802
400,4403 9852 4135 2869 12349 5686 2373 10818 7426 10199
401,5712 11213 9966 5582 8918 5938 5616 5936 1607 7964
402,7819 5844 10819 11922 14759 12609 3081 5534 12736 1142
403,12879 8460 12552 709 9835 3953 7618 11756 7952 5884
404,5260 4921 12233 161 1164 5836 9182 10475 3638 4385
405,6799 4659 4661 4658 5565 9560 5563 9361 6792 11166
406,11446 3832 4852 13216 10836 12996 14999 11140 5593 2206
407,4075 1985 3764 519 527 12455 14817 11433 3757 6623
408,14847 15018 14696 4673 1491 9564 10771 14341 1614 631
409,1133 8188 7084 12467 7180 12028 14017 14561 7871 4587
410,1314 3081 1318 3845 2873 12729 7784 3079 10816 6364
411,8983 1775 14354 10698 12936 6363 4138 12349 9757 3845
412,4385 3795 8498 10038 1288 8563 13566 7759 2643 2540
413,3878 907 6485 12566 6484 6623 11041 6494 4753 4601
414,3023 12778 14938 3257 13186 14016 3214 11918 10218 10144
415,6139 9494 5633 1637 4986 2590 3538 4981 12614 13821
416,11544 8707 14018 4878 3571 9356 2046 5217 10409 5836
417,7846 4540 8340 5151 2582 15272 6303 4517 11050 13771
418,1317 10072 4037 3442 5569 8176 11420 13982 12348 2619
419,10312 10704 4878 5853 1854 8048 8182 5974 4082 10317
420,10981 14982 10668 5453 9718 12244 11465 1805 577 13977
421,3444 10990 10627 10991 6805 13702 8542 10628 4145 12238
422,12566 9805 230 12623 11886 6146 6189 4170 7401 10025
423,6712 13613 6412 10346 7685 2947 12172 6716 528 7237
424,4592 2306 4271 5552 871 4262 821 2586 8403 1993
425,894 5972 10472 7341 1439 2067 13435 7340 846 14897
426,4050 7989 12462 3545 3546 3111 3108 4972 3543 4979
427,4069 2357 2360 3534 2353 2358 2356 6726 3539 10463
428,14803 12294 15272 1904 4807 9890 6078 11050 14920 10829
429,2362 14030 8281 12252 10265 14570 7499 15194 14889 12116
430,1371 12055 713 5217 4385 9356 7561 4921 5836 14933
431,2750 2790 10209 489 2428 2506 9816 9906 776 11323
432,11383 3770 9249 9309 6018 1574 4235 8704 1371 1452
433,507 12267 3761 9985 10555 508 1014 4976 6433 2676
434,7748 7293 13224 11266 7685 13614 10731 12904 13425 6712
435,9913 7525 10673 851 9927 10380 3409 9923 28 11485
436,5424 1054 2071 1051 7133 6726 5790 5425 5633 1014
437,4403 7093 4613 8983 10089 9753 8150 11002 12077 14459
438,7561 7560 10967 5217 3239 7329 3234 4562 1369 137
439,7968 5217 14018 9356 5836 4981 137 3571 7759 4923
440,8328 10632 12318 8760 14319 1101 5147 12164 5127 4835
441,1619 1617 1618 1620 1621 1624 1622 5577 168 5549
442,11248 12207 4527 904 7349 3526 2847 10151 2587 3747
443,1763 1755 9881 8482 8342 5383 10709 8931 3934 1987
444,11154 2961 10023 10598 6699 7839 10982 12044 13352 2851
445,13378 8957 15082 62 3604 5976 13359 13208 9226 5708
446,12462 4777 9478 8552 1280 7021 2073 4229 3340 1081
447,137 4921 4385 5217 5836 9356 7759 4345 11094 4562
